date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2017-02-20,12984,8575,4409,5369,3603,1766,0.46582231328,0.372744934777,0.655719139298
2017-02-19,11413,7386,4027,4970,3340,1630,0.496981891348,0.405089820359,0.68527607362
2017-02-18,11835,7452,4383,4987,3419,1568,0.486063765791,0.395437262357,0.683673469388
2017-02-17,12382,7936,4446,5585,3859,1726,0.479856759176,0.389738274164,0.68134414832
2017-02-16,12813,7847,4966,5587,3733,1854,0.4902452121,0.398071256362,0.675836030205
2017-02-15,11799,7229,4570,5186,3513,1673,0.478403393752,0.384286934244,0.676031081889
2017-02-14,11057,6944,4113,5015,3380,1635,0.504486540379,0.40325443787,0.71376146789
2017-02-13,11870,7317,4553,5155,3344,1811,0.519301648885,0.412380382775,0.716731087797
2017-02-12,9698,6083,3615,3909,2676,1233,0.495267331798,0.414050822123,0.671532846715
2017-02-11,9365,5880,3485,3758,2485,1273,0.517828632251,0.422132796781,0.704634721131
2017-02-10,10352,7203,3149,4654,3157,1497,0.496562097121,0.395628761482,0.709418837675
2017-02-09,12468,7359,5109,4983,3225,1758,0.513546056592,0.422945736434,0.679749715586
2017-02-08,11490,7081,4409,4608,3070,1538,0.483072916667,0.41335504886,0.622236671001
2017-02-07,11353,6691,4662,4318,2883,1435,0.476146364057,0.409642733264,0.609756097561
2017-02-06,11729,6269,5460,4207,2761,1446,0.478250534823,0.39478449837,0.637621023513
2017-02-05,9036,5298,3738,3543,2274,1269,0.481230595541,0.412928759894,0.603624901497
2017-02-04,7286,5188,2098,3425,2212,1213,0.483211678832,0.419077757685,0.600164880462
2017-02-03,6248,4609,1639,2871,1992,879,0.456983629397,0.39156626506,0.605233219568
2017-02-02,5085,3826,1259,2338,1634,704,0.443969204448,0.384332925337,0.582386363636
2017-02-01,4636,3575,1061,2105,1534,571,0.448456057007,0.38591916558,0.61646234676
2017-01-31,4041,3087,954,1838,1309,529,0.455930359086,0.404125286478,0.584120982987
2017-01-30,3645,2802,843,1603,1163,440,0.459139114161,0.409286328461,0.590909090909
2017-01-29,3319,2630,689,1417,1048,369,0.467184191955,0.422709923664,0.593495934959
2017-01-28,3096,2393,703,1277,925,352,0.460454189507,0.40972972973,0.59375
2017-01-27,4081,3089,992,1786,1225,561,0.456886898096,0.398367346939,0.584670231729
2017-01-26,7349,4885,2464,3267,2174,1093,0.46250382614,0.40018399264,0.586459286368
2017-01-25,8988,6183,2805,4238,2945,1293,0.45422369042,0.397283531409,0.583913379737
2017-01-24,10706,7562,3144,5073,3669,1404,0.436231027006,0.380212591987,0.582621082621
2017-01-23,11907,8157,3750,5671,4044,1627,0.44366073003,0.384520276954,0.59065765212
2017-01-22,11507,8257,3250,5495,4068,1427,0.421656050955,0.373156342183,0.559915907498
2017-01-21,12030,8901,3129,5794,4411,1383,0.405246807042,0.367717070959,0.524945770065
2017-01-20,14223,9989,4234,6910,5031,1879,0.412156295224,0.374279467303,0.51357104843
2017-01-19,15435,11018,4417,7449,5455,1994,0.417639951671,0.37690192484,0.529087261785
2017-01-18,15635,10717,4918,7448,5432,2016,0.434881847476,0.393961708395,0.545138888889
2017-01-17,15254,10351,4903,7129,5213,1916,0.416888764203,0.375599462881,0.529227557411
2017-01-16,15810,10130,5680,7355,5243,2112,0.422025832767,0.382986839596,0.518939393939
2017-01-15,14032,8933,5099,6235,4418,1817,0.42101042502,0.381846989588,0.51623555311
2017-01-14,13777,9064,4713,6390,4576,1814,0.428325508607,0.388986013986,0.52756339581
2017-01-13,15188,10118,5070,7221,5215,2006,0.420440382219,0.378906999041,0.528414755733
2017-01-12,16259,10518,5741,7279,5288,1991,0.431240555021,0.395423600605,0.526368658965
2017-01-11,16476,10747,5729,7465,5413,2052,0.420897521768,0.39534454092,0.488304093567
2017-01-10,17044,10664,6380,7579,5419,2160,0.437392795883,0.403395460417,0.522685185185
2017-01-09,17822,11416,6406,8363,5928,2435,0.423532225278,0.394062078273,0.495277207392
2017-01-08,7580,4699,2881,3477,2477,1000,0.447224618924,0.409769882923,0.54
2017-01-07,13956,8717,5239,6034,4237,1797,0.443818362612,0.408071748879,0.528102392877
2017-01-06,15916,9568,6348,7163,4834,2329,0.444785704314,0.399875879189,0.537999141262
2017-01-05,14432,9145,5287,6575,4656,1919,0.441520912548,0.408719931271,0.521104742053
2017-01-04,17230,9910,7320,7192,5071,2121,0.432424916574,0.396174324591,0.51909476662
2017-01-03,16070,8650,7420,6309,4442,1867,0.441908384847,0.401170643854,0.538832351366
2017-01-02,11378,7607,3771,5233,3734,1499,0.435123256258,0.400107123728,0.522348232155
2017-01-01,9018,6398,2620,4209,3051,1158,0.43929674507,0.408062930187,0.521588946459
2016-12-31,14840,7168,7672,5236,3624,1612,0.433537051184,0.386865342163,0.538461538462
2016-12-30,16425,8361,8064,6472,4453,2019,0.436650185414,0.393218055244,0.532441802873
2016-12-29,16572,8423,8149,6454,4469,1985,0.437867988844,0.400537032893,0.521914357683
2016-12-28,16626,8538,8088,6192,4344,1848,0.424903100775,0.393416206262,0.498917748918
2016-12-27,16349,8345,8004,6487,4437,2050,0.428857715431,0.385395537525,0.522926829268
2016-12-26,17497,8565,8932,6692,4562,2130,0.446204423192,0.403331871986,0.538028169014
2016-12-25,13526,6426,7100,4776,3225,1551,0.441792294807,0.401550387597,0.525467440361
2016-12-24,14229,6856,7373,5048,3535,1513,0.429477020602,0.387270155587,0.52808988764
2016-12-23,15569,7967,7602,6036,4148,1888,0.422630881378,0.390308582449,0.493644067797
2016-12-22,15866,8096,7770,6075,4122,1953,0.428148148148,0.389131489568,0.510496671787
2016-12-21,15847,7870,7977,6121,4157,1964,0.443228230681,0.399807553524,0.535132382892
